node,heuristic_score
788,0.0238654
789,0.503912
790,0.503912
791,0.503912
792,0.503912
793,0.503912
794,0.503912
795,0.503912
796,0.503912
797,0.503912
798,0.503912
799,0.503912
800,0.503912
801,0.00723787
802,0.503912
803,0.503912
804,0.503912
805,0.503912
806,0.503912
807,0.503912
808,0.503912
809,0.503912
810,0.503912
811,0.503912
812,0.0271909
813,0.503912
814,0.503912
815,0.503912
816,0.503912
817,0.503912
818,0.503912
819,0.503912
820,0.503912
821,0.503912
822,0.503912
823,0.503912
824,0.503912
825,0.503912
826,0.503912
827,0.503912
828,0.503912
829,0.503912
830,0.503912
831,0.0704225
832,0.503912
833,0.503912
834,0.503912
835,0.503912
836,0.503912
837,0.503912
838,0.503912
839,0.503912
840,0.503912
841,0.503912
842,0.503912
843,0.503912
844,0.0172144
845,0.503912
846,0.503912
847,0.503912
848,0.00723787
849,0.503912
850,0.503912
851,0.00723787
852,0.503912
853,0.503912
854,0.503912
855,0.503912
856,0.0138889
857,0.503912
858,0.503912
859,0.503912
860,0.503912
861,0.503912
862,0.503912
863,0.503912
864,0.503912
865,0.503912
866,0.503912
867,0.503912
868,0.503912
869,0.503912
870,0.503912
871,0.503912
872,0.503912
873,0.503912
874,0.00723787
875,0.503912
876,0.503912
877,0.503912
878,0.503912
879,0.00723787
880,0.0138889
881,0.503912
882,0.503912
883,0.503912
884,0.503912
885,0.503912
886,0.503912
887,0.503912
888,0.503912
889,0.503912
890,0.0438185
891,0.503912
892,0.503912
893,0.503912
894,0.503912
895,0.503912
896,0.503912
897,0.503912
898,0.503912
899,0.503912
900,0.00723787
901,0.503912
902,0.503912
903,0.503912
904,0.503912
905,0.503912
906,0.503912
907,0.503912
908,0.503912
909,0.503912
910,0.503912
911,0.503912
912,0.503912
913,0.060446
914,0.503912
915,0.503912
916,0.503912
917,0.503912
918,0.503912
919,0.0105634
920,0.00723787
921,0.503912
922,0.503912
923,0.503912
924,0.503912
925,0.503912
926,0.503912
927,0.503912
928,0.0105634
929,0.503912
930,0.503912
931,0.503912
932,0.503912
933,0.503912
934,0.503912
935,0.503912
936,0.503912
937,0.0105634
938,0.503912
939,0.503912
940,0.503912
941,0.503912
942,0.503912
943,0.503912
944,0.503912
945,0.503912
946,0.503912
947,0.503912
948,0.503912
949,0.503912
950,0.0338419
951,0.503912
952,0.503912
953,0.503912
954,0.503912
955,0.503912
956,0.503912
957,0.503912
958,0.503912
959,0.503912
960,0.503912
961,0.503912
962,0.503912
963,0.503912
964,0.503912
965,0.0205399
966,0.503912
967,0.503912
968,0.503912
969,0.503912
970,0.503912
971,0.00723787
972,0.503912
973,0.00723787
974,0.503912
975,0.00723787
